               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087653,             0.02612,                   0,            0.001184,             0.32338,           0.0043574,          0.00075674,            0.072729,            0.011618,                   0,              0.0705,           0.0032778,           0.0032778
                   1,            0.078845,            0.026926,                   0,           0.0014208,             0.38806,           0.0027435,          0.00065135,            0.071154,            0.011031,                   0,            0.040481,           0.0065924,           0.0065924
                   2,            0.075473,            0.027393,                   0,            0.049185,             0.48756,            0.054564,            0.015505,            0.070148,             0.01356,                   0,            0.010444,           0.0098882,           0.0098882
                   3,            0.066991,            0.030367,                   0,             0.15198,             0.28358,             0.12073,            0.042898,            0.067194,            0.012349,                   0,           0.0099151,           0.0099151,           0.0099151
                   4,            0.061704,            0.029762,                   0,              0.2229,             0.32836,             0.15823,              0.0461,            0.063576,             0.01247,                   0,           0.0099151,           0.0099151,           0.0099151
                   5,            0.058666,            0.029331,                   0,             0.19559,             0.50249,             0.14008,            0.042962,            0.062418,            0.014362,                   0,           0.0098869,           0.0098869,           0.0098869
                   6,            0.057644,            0.029076,                   0,             0.17536,             0.34826,             0.10942,            0.034112,            0.062762,            0.016859,                   0,           0.0098586,           0.0098586,           0.0098586
                   7,            0.056525,            0.029306,                   0,             0.33741,             0.42786,             0.27412,            0.080635,             0.06221,             0.01185,                   0,           0.0098303,           0.0098303,           0.0098303
                   8,             0.05516,            0.028301,                   0,             0.40463,             0.41294,             0.30996,            0.095841,            0.058741,            0.010112,                   0,            0.009802,            0.009802,            0.009802
                   9,            0.051812,             0.02702,                   0,             0.32228,             0.36318,               0.235,            0.073209,            0.062924,            0.012796,                   0,           0.0097737,           0.0097737,           0.0097737
                  10,            0.051544,            0.026581,                   0,             0.27084,             0.36816,             0.19971,            0.066754,            0.062171,           0.0099193,                   0,           0.0097454,           0.0097454,           0.0097454
                  11,            0.050196,            0.026298,                   0,            0.077585,             0.16418,            0.049789,            0.014625,            0.057922,             0.01558,                   0,           0.0097171,           0.0097171,           0.0097171
                  12,            0.047783,            0.025067,                   0,             0.47496,             0.42289,             0.38773,             0.15184,            0.049666,           0.0099876,                   0,           0.0096889,           0.0096889,           0.0096889
                  13,            0.047784,            0.025368,                   0,             0.41498,             0.39801,             0.32593,             0.13818,            0.052206,            0.010748,                   0,           0.0096606,           0.0096606,           0.0096606
                  14,            0.047031,            0.024375,                   0,             0.48069,             0.45274,              0.4118,             0.17532,            0.046886,           0.0091671,                   0,           0.0096323,           0.0096323,           0.0096323
                  15,            0.044979,            0.024238,                   0,             0.66966,             0.63184,             0.66073,             0.29774,            0.046015,           0.0083335,                   0,            0.009604,            0.009604,            0.009604
                  16,            0.043684,            0.024137,                   0,             0.67175,             0.53731,             0.63514,             0.29513,            0.044042,           0.0086781,                   0,           0.0095757,           0.0095757,           0.0095757
                  17,            0.043494,            0.024235,                   0,             0.75174,             0.64677,              0.7387,             0.35215,             0.04408,           0.0092137,                   0,           0.0095474,           0.0095474,           0.0095474
                  18,            0.043002,            0.023452,                   0,             0.80494,             0.60199,             0.73298,             0.33874,             0.04702,           0.0082005,                   0,           0.0095191,           0.0095191,           0.0095191
                  19,            0.042128,            0.023007,                   0,             0.77029,             0.57711,             0.71368,             0.35685,            0.041538,           0.0081216,                   0,           0.0094909,           0.0094909,           0.0094909
                  20,            0.042577,            0.023062,                   0,             0.66747,             0.56716,             0.62561,             0.28979,            0.049026,           0.0081855,                   0,           0.0094626,           0.0094626,           0.0094626
                  21,            0.041627,            0.022787,                   0,             0.78886,             0.61341,             0.72629,             0.38256,            0.040865,           0.0079262,                   0,           0.0094343,           0.0094343,           0.0094343
                  22,            0.040773,            0.022466,                   0,             0.75101,             0.58523,             0.68862,             0.32474,            0.043388,           0.0076314,                   0,            0.009406,            0.009406,            0.009406
