               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088249,            0.025733,                   0,           0.0022587,             0.61692,           0.0033577,          0.00087247,            0.072048,            0.011817,                   0,              0.0705,           0.0032778,           0.0032778
                   1,            0.081371,            0.026325,                   0,           0.0017486,             0.47761,           0.0036046,          0.00085148,            0.071533,            0.011488,                   0,            0.040487,            0.006598,            0.006598
                   2,            0.079812,            0.026361,                   0,           0.0020219,             0.55224,           0.0064106,           0.0012536,            0.072077,            0.011255,                   0,            0.010461,           0.0099051,           0.0099051
                   3,            0.078439,            0.027199,                   0,            0.017682,           0.0049751,            0.013481,           0.0027022,            0.072805,            0.011053,                   0,           0.0099406,           0.0099406,           0.0099406
                   4,            0.077789,            0.026352,                   0,           0.0061694,             0.52736,            0.012676,           0.0025904,            0.072933,            0.010707,                   0,           0.0099406,           0.0099406,           0.0099406
                   5,            0.076881,            0.026404,                   0,           0.0043596,             0.47264,           0.0096077,           0.0019701,            0.075864,            0.010581,                   0,           0.0099208,           0.0099208,           0.0099208
                   6,             0.07746,              0.0266,                   0,            0.063578,            0.029851,            0.013907,           0.0029726,            0.073798,            0.010665,                   0,            0.009901,            0.009901,            0.009901
                   7,            0.077064,            0.027401,                   0,            0.010559,             0.37313,             0.01208,           0.0023982,            0.073073,            0.010719,                   0,           0.0098812,           0.0098812,           0.0098812
                   8,            0.077166,            0.026927,                   0,            0.011428,             0.44279,            0.018969,           0.0037582,            0.072948,            0.010798,                   0,           0.0098614,           0.0098614,           0.0098614
                   9,             0.07625,            0.026523,                   0,            0.079413,            0.049751,            0.020098,           0.0038687,            0.074029,            0.010568,                   0,           0.0098416,           0.0098416,           0.0098416
                  10,              0.0767,            0.026481,                   0,            0.031491,            0.024876,            0.015228,            0.002839,             0.07376,            0.010526,                   0,           0.0098218,           0.0098218,           0.0098218
                  11,            0.077023,            0.026663,                   0,            0.041728,            0.039801,            0.014257,           0.0031908,            0.074058,             0.01049,                   0,            0.009802,            0.009802,            0.009802
                  12,            0.076162,            0.026016,                   0,            0.056083,            0.094527,            0.021803,           0.0048947,             0.07261,            0.010481,                   0,           0.0097822,           0.0097822,           0.0097822
                  13,            0.076642,            0.026805,                   0,            0.056641,              0.0199,            0.020112,           0.0044572,            0.075973,             0.01048,                   0,           0.0097624,           0.0097624,           0.0097624
                  14,            0.077466,            0.025859,                   0,            0.075709,            0.024876,            0.019193,           0.0038513,            0.077679,            0.010356,                   0,           0.0097426,           0.0097426,           0.0097426
                  15,            0.076105,            0.026486,                   0,            0.044757,             0.12935,            0.016943,            0.003471,            0.073887,            0.010553,                   0,           0.0097228,           0.0097228,           0.0097228
                  16,            0.076512,            0.026485,                   0,            0.056452,            0.029851,            0.023749,           0.0043201,             0.07461,            0.010489,                   0,            0.009703,            0.009703,            0.009703
                  17,            0.076123,            0.026898,                   0,            0.059873,            0.034826,             0.01941,           0.0042388,            0.073049,            0.010662,                   0,           0.0096832,           0.0096832,           0.0096832
                  18,            0.076132,            0.026461,                   0,            0.084965,            0.069652,            0.019574,           0.0041236,             0.07476,            0.010508,                   0,           0.0096634,           0.0096634,           0.0096634
                  19,            0.076399,            0.026259,                   0,            0.031083,             0.16418,             0.01463,           0.0030869,            0.075038,            0.010272,                   0,           0.0096436,           0.0096436,           0.0096436
                  20,            0.076774,            0.026482,                   0,            0.070828,            0.049751,            0.022937,            0.004491,            0.074744,            0.010572,                   0,           0.0096238,           0.0096238,           0.0096238
                  21,            0.076501,            0.026242,                   0,            0.074143,            0.064677,            0.017418,           0.0036484,            0.074357,            0.010412,                   0,            0.009604,            0.009604,            0.009604
                  22,            0.075416,            0.026507,                   0,            0.092229,            0.044989,            0.021605,           0.0046557,             0.07396,            0.010503,                   0,           0.0095842,           0.0095842,           0.0095842
                  23,            0.076693,            0.026461,                   0,            0.034273,             0.16418,            0.017582,           0.0035698,            0.074841,            0.010369,                   0,           0.0095644,           0.0095644,           0.0095644
                  24,            0.076119,            0.026223,                   0,            0.098683,            0.079602,             0.02695,             0.00529,              0.0748,            0.010399,                   0,           0.0095446,           0.0095446,           0.0095446
                  25,            0.075897,              0.0268,                   0,             0.07735,            0.074627,            0.020758,           0.0044436,            0.077531,              0.0105,                   0,           0.0095248,           0.0095248,           0.0095248
                  26,            0.076154,            0.026996,                   0,            0.049507,            0.054726,            0.017816,           0.0041603,             0.07363,            0.010555,                   0,            0.009505,            0.009505,            0.009505
                  27,            0.076155,            0.026333,                   0,            0.093345,            0.032799,            0.024253,           0.0052954,             0.07411,            0.010462,                   0,           0.0094852,           0.0094852,           0.0094852
                  28,            0.075705,            0.026437,                   0,            0.054697,            0.074627,              0.0218,            0.004663,            0.074986,             0.01047,                   0,           0.0094654,           0.0094654,           0.0094654
                  29,            0.076116,            0.027439,                   0,            0.068433,            0.074627,            0.026046,           0.0070029,            0.073097,            0.010595,                   0,           0.0094456,           0.0094456,           0.0094456
                  30,            0.077479,            0.026252,                   0,             0.07101,            0.074627,            0.022307,           0.0050191,            0.074932,            0.010471,                   0,           0.0094258,           0.0094258,           0.0094258
                  31,            0.076027,            0.026511,                   0,            0.085761,            0.059701,            0.019809,           0.0037069,            0.074759,            0.010309,                   0,            0.009406,            0.009406,            0.009406
