               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087653,             0.02612,                   0,            0.001184,             0.32338,           0.0043574,          0.00075674,            0.072729,            0.011618,                   0,              0.0705,           0.0032778,           0.0032778
                   1,            0.078663,            0.026963,                   0,           0.0017851,             0.48756,            0.005729,           0.0013401,            0.069913,            0.011273,                   0,            0.040496,           0.0066067,           0.0066067
                   2,            0.075715,            0.027284,                   0,             0.14814,             0.50746,             0.13867,            0.038266,            0.067507,            0.013193,                   0,            0.010487,           0.0099313,           0.0099313
                   3,            0.067306,            0.030223,                   0,             0.15621,             0.27861,             0.15438,            0.050984,            0.067029,            0.013032,                   0,           0.0099802,           0.0099802,           0.0099802
                   4,            0.062168,            0.029767,                   0,             0.13672,             0.34826,            0.092818,            0.027793,            0.066347,            0.018451,                   0,           0.0099802,           0.0099802,           0.0099802
                   5,             0.05859,             0.02936,                   0,             0.34577,             0.42289,             0.25993,            0.097288,             0.06337,            0.012414,                   0,           0.0099736,           0.0099736,           0.0099736
                   6,            0.057443,            0.029077,                   0,             0.21119,             0.48351,             0.18683,            0.067156,            0.061449,            0.011955,                   0,            0.009967,            0.009967,            0.009967
                   7,            0.056338,             0.02953,                   0,              0.4852,             0.47264,             0.38688,             0.14871,            0.061893,            0.010939,                   0,           0.0099604,           0.0099604,           0.0099604
                   8,             0.05526,            0.028528,                   0,             0.27476,             0.47264,             0.21127,            0.072636,            0.064318,            0.013126,                   0,           0.0099538,           0.0099538,           0.0099538
                   9,            0.052561,            0.027366,                   0,             0.50782,             0.47264,             0.43837,             0.14295,            0.058506,            0.010976,                   0,           0.0099472,           0.0099472,           0.0099472
                  10,            0.051523,            0.026903,                   0,             0.29832,             0.42786,             0.25273,            0.076866,            0.055214,            0.010428,                   0,           0.0099406,           0.0099406,           0.0099406
                  11,            0.050642,             0.02648,                   0,             0.32358,             0.49027,             0.29787,            0.098878,             0.05226,            0.011213,                   0,            0.009934,            0.009934,            0.009934
                  12,             0.04788,            0.025261,                   0,             0.47428,             0.43284,             0.37789,             0.14841,            0.054904,            0.011865,                   0,           0.0099274,           0.0099274,           0.0099274
                  13,            0.048399,             0.02552,                   0,             0.44956,             0.52736,             0.42744,             0.17921,             0.04804,           0.0092099,                   0,           0.0099208,           0.0099208,           0.0099208
                  14,            0.047206,            0.024348,                   0,             0.49568,             0.48259,             0.43681,             0.15035,            0.050332,           0.0094821,                   0,           0.0099142,           0.0099142,           0.0099142
                  15,            0.045487,            0.024416,                   0,              0.5668,             0.53731,             0.51304,             0.21477,            0.054072,           0.0094009,                   0,           0.0099076,           0.0099076,           0.0099076
                  16,            0.044327,            0.024308,                   0,             0.54747,             0.47264,             0.49959,             0.22608,            0.044481,           0.0092308,                   0,            0.009901,            0.009901,            0.009901
                  17,            0.043539,            0.024354,                   0,             0.74078,             0.65403,             0.73741,             0.34171,            0.044611,           0.0080259,                   0,           0.0098944,           0.0098944,           0.0098944
                  18,            0.043214,              0.0236,                   0,             0.67783,             0.57214,             0.62611,             0.30297,            0.043553,            0.008162,                   0,           0.0098878,           0.0098878,           0.0098878
                  19,            0.042439,            0.022975,                   0,             0.52498,             0.60697,             0.61847,             0.29838,            0.041121,           0.0081146,                   0,           0.0098812,           0.0098812,           0.0098812
                  20,            0.042913,             0.02326,                   0,             0.74682,             0.62189,             0.68959,             0.34756,            0.047195,           0.0076728,                   0,           0.0098746,           0.0098746,           0.0098746
                  21,            0.041824,            0.022779,                   0,             0.42701,             0.44279,              0.4004,             0.17463,            0.046085,           0.0089087,                   0,            0.009868,            0.009868,            0.009868
                  22,            0.040926,            0.022561,                   0,             0.79557,             0.71637,             0.77817,              0.3637,            0.040377,           0.0071453,                   0,           0.0098614,           0.0098614,           0.0098614
                  23,            0.041112,            0.022511,                   0,             0.55621,             0.66719,             0.64294,             0.31787,            0.040036,           0.0073983,                   0,           0.0098548,           0.0098548,           0.0098548
                  24,            0.039801,            0.021828,                   0,              0.8606,             0.66169,             0.77165,             0.39714,            0.041923,           0.0074018,                   0,           0.0098482,           0.0098482,           0.0098482
                  25,            0.038414,            0.022319,                   0,             0.71682,             0.75124,             0.78702,             0.42931,              0.0378,           0.0072861,                   0,           0.0098416,           0.0098416,           0.0098416
                  26,             0.03857,            0.022106,                   0,             0.61694,             0.71144,             0.69824,             0.34001,            0.039607,           0.0074046,                   0,            0.009835,            0.009835,            0.009835
                  27,            0.038775,            0.021674,                   0,             0.82856,             0.61692,             0.74577,             0.39326,            0.042296,           0.0070663,                   0,           0.0098284,           0.0098284,           0.0098284
                  28,            0.038188,            0.021569,                   0,             0.85124,             0.71144,             0.80028,              0.3858,            0.041479,           0.0069507,                   0,           0.0098218,           0.0098218,           0.0098218
                  29,            0.037688,            0.021959,                   0,             0.85985,             0.65174,             0.76346,              0.4035,            0.041181,           0.0071537,                   0,           0.0098152,           0.0098152,           0.0098152
                  30,            0.038282,            0.021236,                   0,             0.68804,             0.69652,             0.71686,             0.35328,            0.037718,           0.0075093,                   0,           0.0098086,           0.0098086,           0.0098086
                  31,            0.037456,            0.021153,                   0,             0.83925,              0.7013,             0.79659,             0.41206,            0.039972,           0.0067713,                   0,            0.009802,            0.009802,            0.009802
