               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087328,            0.026061,                   0,           0.0012204,             0.33333,           0.0017635,           0.0004549,            0.072628,             0.01163,                   0,              0.0705,           0.0032778,           0.0032778
                   1,            0.080467,            0.026586,                   0,           0.0013297,             0.36318,           0.0026538,          0.00061479,            0.072241,            0.011057,                   0,            0.040487,            0.006598,            0.006598
                   2,            0.079013,            0.026561,                   0,           0.0081589,             0.21891,           0.0057428,           0.0013014,            0.070695,            0.010843,                   0,            0.010461,           0.0099051,           0.0099051
                   3,            0.076873,            0.027605,                   0,            0.078413,              0.1194,            0.038088,           0.0089718,            0.070097,            0.013235,                   0,           0.0099406,           0.0099406,           0.0099406
                   4,            0.073987,            0.027539,                   0,            0.085801,              0.1393,            0.037724,           0.0087744,            0.070138,            0.012071,                   0,           0.0099406,           0.0099406,           0.0099406
                   5,            0.069253,            0.028811,                   0,            0.043166,             0.10448,            0.020562,           0.0047306,            0.068694,             0.01181,                   0,           0.0099208,           0.0099208,           0.0099208
                   6,            0.066322,            0.029747,                   0,            0.031391,             0.11443,            0.021388,           0.0056806,            0.068336,            0.012608,                   0,            0.009901,            0.009901,            0.009901
                   7,            0.063942,             0.03066,                   0,            0.065161,             0.16418,            0.036935,           0.0090891,             0.06546,            0.013262,                   0,           0.0098812,           0.0098812,           0.0098812
                   8,            0.062151,            0.030114,                   0,            0.063948,             0.16915,            0.046031,            0.011301,            0.063554,            0.012041,                   0,           0.0098614,           0.0098614,           0.0098614
                   9,            0.059901,            0.029425,                   0,            0.080233,             0.24876,            0.050428,            0.012422,            0.063072,            0.013526,                   0,           0.0098416,           0.0098416,           0.0098416
                  10,            0.059652,            0.029109,                   0,             0.14896,             0.25871,             0.10269,            0.024736,            0.062731,            0.012068,                   0,           0.0098218,           0.0098218,           0.0098218
                  11,            0.059211,            0.029276,                   0,             0.12484,             0.29353,             0.10165,            0.025759,             0.06241,            0.012776,                   0,            0.009802,            0.009802,            0.009802
                  12,            0.057174,             0.02863,                   0,             0.18141,             0.30846,             0.13412,            0.036914,            0.061628,              0.0137,                   0,           0.0097822,           0.0097822,           0.0097822
                  13,             0.05832,            0.029137,                   0,             0.10222,             0.30846,             0.06792,            0.019137,            0.061955,             0.01189,                   0,           0.0097624,           0.0097624,           0.0097624
                  14,             0.05833,            0.028106,                   0,             0.16531,             0.26866,               0.132,            0.039727,            0.062276,            0.012172,                   0,           0.0097426,           0.0097426,           0.0097426
                  15,            0.056401,            0.028303,                   0,             0.17084,               0.286,             0.12118,            0.037702,            0.061485,            0.012521,                   0,           0.0097228,           0.0097228,           0.0097228
