,Epoch,gpu_mem,box,obj,cls,total,labels,img_size,P,R,mAP@.5,mAP@.5:.95,,,
,0/99,10.6G,0.0609,0.01504,0,0.07593,58,640,0.4502,0.5473,0.4176,0.1762,0.0827,0.007616,0
,1/99,10.8G,0.05767,0.01157,0,0.06925,56,640,0.2804,0.2736,0.1574,0.05228,0.09074,0.006767,0
,2/99,12.1G,0.05791,0.01124,0,0.06915,56,640,0.0001677,0.04478,2.084e-05,4.334e-06,0.09697,7.013,0
,3/99,12.1G,0.05759,0.01107,0,0.06866,33,640,0.01806,0.07463,0.008088,0.001564,0.08298,0.006687,0
,4/99,12.1G,0.06078,0.01085,0,0.07164,40,640,0.009523,0.4627,0.006984,0.00154,0.09436,0.2825,0
,5/99,12.1G,0.0605,0.01062,0,0.07112,42,640,0,0,0,0,0.1208,0.846,0
,6/99,12.1G,0.06344,0.01071,0,0.07415,39,640,0.01149,0.02488,0.003261,0.0006294,0.1093,0.007267,0
,7/99,12.1G,0.06246,0.01057,0,0.07302,57,640,0.02017,0.2338,0.01518,0.002391,0.1093,0.007093,0
,8/99,12.1G,0.05907,0.01055,0,0.06962,47,640,0.487,0.4975,0.339,0.124,0.08657,0.005996,0
,9/99,12.1G,0.05716,0.01086,0,0.06802,46,640,0.007886,0.6318,0.006758,0.001427,0.09875,0.03823,0
,10/99,12.1G,0.05924,0.01107,0,0.0703,58,640,0.2761,0.4527,0.2321,0.09583,0.08413,0.006387,0
,11/99,12.1G,0.05293,0.01083,0,0.06376,37,640,0.4612,0.5373,0.3794,0.1506,0.08727,0.005874,0
,12/99,12.1G,0.05412,0.01111,0,0.06523,58,640,0.3117,0.3831,0.2397,0.09773,0.09021,0.0062,0
,13/99,12.1G,0.05232,0.01085,0,0.06317,52,640,0.204,0.3731,0.1785,0.06875,0.08516,0.006204,0
,14/99,12.1G,0.05087,0.01098,0,0.06186,58,640,0.372,0.5174,0.3755,0.1734,0.08091,0.006099,0
